Timestamp,Load Cell 1,Load Cell 2,Load Cell 3,Load Cell 4
2024-08-09 16:49:49,78.8059,-53.662,nan,10.001
2024-08-09 16:49:50,102.705,59.9382,nan,15.1925
2024-08-09 16:49:51,129.203,94.9692,nan,9.26076
2024-08-09 16:49:52,-75.3704,-46.9567,nan,1.97
2024-08-09 16:49:53,38.1782,58.4425,nan,9.95921
2024-08-09 16:49:54,2.53456,-36.7256,nan,2.16676
2024-08-09 16:49:55,-145.55,-29.3386,nan,14.3054
2024-08-09 16:49:56,5.79103,62.2042,nan,1.50205
2024-08-09 16:49:57,57.4207,69.1708,nan,7.13021
2024-08-09 16:49:58,-31.8544,-20.7252,nan,7.70024
2024-08-09 16:49:59,-20.4375,-24.3707,nan,13.6962
2024-08-09 16:50:00,44.6984,62.0455,nan,13.5874
2024-08-09 16:50:01,-47.9587,49.1922,nan,14.3673
2024-08-09 16:50:02,75.766,91.3526,nan,6.27143
2024-08-09 16:50:03,128.957,-68.0733,nan,6.04903
2024-08-09 16:50:04,89.8964,-72.4601,nan,6.01
2024-08-09 16:50:05,-161.647,7.83625,nan,11.89
2024-08-09 16:50:06,19.3677,-11.1038,nan,15.1695
2024-08-09 16:50:07,-156.731,31.7812,nan,14.4312
2024-08-09 16:50:08,28.4627,-25.7934,nan,7.80741
2024-08-09 16:50:09,-11.6275,79.4548,nan,14.869
2024-08-09 16:50:10,20.0081,-8.89635,nan,10.5811
2024-08-09 16:50:11,16.9347,34.5112,nan,9.79624
2024-08-09 16:50:12,24.8391,-67.4281,nan,15.694
2024-08-09 16:50:13,122.041,38.6084,nan,3.1271
2024-08-09 16:50:14,152.953,-3.05596,nan,2.08382
